sample_id	md5sum	assembly
SAMEA104162254	c7df9a61ffb7e70b5b11448b99713c96	SAMEA104162254.contigs.fa.gz
SAMEA104162255	111f4b28b8d2609bc160060bd9e9d38f	SAMEA104162255.contigs.fa.gz
SAMEA104162259	e85d5785a0e4d17159721d4cd47556cf	SAMEA104162259.contigs.fa.gz
SAMEA104162260	72454cdc4ca916ed6d00cb0f31c2484d	SAMEA104162260.contigs.fa.gz
SAMEA104162261	1a0cd9d32ce78d30c023fc082b579491	SAMEA104162261.contigs.fa.gz
SAMEA104162262	882f34abd216cf442e0f6e0e19c3316c	SAMEA104162262.contigs.fa.gz
SAMEA104283627	b0dbfae8712cee850a46ed104190214e	SAMEA104283627.contigs.fa.gz
SAMEA104283639	ba739d91c138a7d8c8ebf2950ca07f6e	SAMEA104283639.contigs.fa.gz
SAMEA104283640	0289b2958592f0c430b8c36153fffe7b	SAMEA104283640.contigs.fa.gz
SAMEA104283647	359b161f505efb828b11f3a7e7b73ae4	SAMEA104283647.contigs.fa.gz
SAMEA104283658	c579067cb1841808a67eab7b3d904315	SAMEA104283658.contigs.fa.gz
SAMEA104283661	d133571d7fd9f13fd4133fb47fa85728	SAMEA104283661.contigs.fa.gz
SAMEA104283670	9b77a532c922a6cfae3c1396368ad6bb	SAMEA104283670.contigs.fa.gz
SAMEA104283721	58a9a82e01cdbdeda1e35bccb6d38b52	SAMEA104283721.contigs.fa.gz
SAMEA104283729	ddfd0d7c34d21b4858ec10eb9368e9c0	SAMEA104283729.contigs.fa.gz
SAMEA104283731	66f5a2a3216374e20849eda5ec09bfdf	SAMEA104283731.contigs.fa.gz
SAMEA104283755	1b1d2c251c592f667bacfefcd7e62a20	SAMEA104283755.contigs.fa.gz
SAMEA104283844	20df25ee660f6fdadd57a345ffc2bf30	SAMEA104283844.contigs.fa.gz
SAMEA104283878	d0d95862736037bbaf573264aa586072	SAMEA104283878.contigs.fa.gz
SAMEA104283910	4a1e2a08c4ae713052f975e3cc5951a3	SAMEA104283910.contigs.fa.gz
SAMEA104283990	cf428fae382b0d98d91ecfafcdab6eb1	SAMEA104283990.contigs.fa.gz
SAMEA104354105	ca7829f47d7d14266c7c726b1bd590a1	SAMEA104354105.contigs.fa.gz
SAMEA104354106	c4cdb1b430aefb2855396d0e140e441b	SAMEA104354106.contigs.fa.gz
SAMEA104354108	2040d292f086aca0b2a5ff909b5f9b42	SAMEA104354108.contigs.fa.gz
SAMEA104354110	55bbf384e630f4f350f6d3adbda02da5	SAMEA104354110.contigs.fa.gz
SAMEA104354112	344a8707a1ae8ab83678d7db70c8a15c	SAMEA104354112.contigs.fa.gz
SAMEA104354116	35728ec5757a20d080cdc17cdf7f79c3	SAMEA104354116.contigs.fa.gz
SAMEA104354117	9aebc1ae843675e355c42266337f66d9	SAMEA104354117.contigs.fa.gz
SAMEA104354121	fb41a2bdff936db4306bea2c526a0ae8	SAMEA104354121.contigs.fa.gz
SAMEA104354122	a5dde7e21d6eb5f8e0135015a5ab1d1c	SAMEA104354122.contigs.fa.gz
SAMEA104354123	8e257c23e32336ed27696e4b56db5095	SAMEA104354123.contigs.fa.gz
SAMEA104354124	5bb2c6fd8a3c7762143b528013907e8d	SAMEA104354124.contigs.fa.gz
SAMEA104359275	7769504bf012608821e02eb856a6a1de	SAMEA104359275.contigs.fa.gz
SAMEA104359425	22218816fc98b367b837e6ac56691f9a	SAMEA104359425.contigs.fa.gz
SAMEA104359427	e76762df86d227ee035a99b90b8528f3	SAMEA104359427.contigs.fa.gz
SAMEA104359469	89b9a440546c8e6e5b91bd55abbbf6f9	SAMEA104359469.contigs.fa.gz
SAMEA104416630	bb9ebda68a514c653ce3f221cd498c24	SAMEA104416630.contigs.fa.gz
SAMEA104416632	e1c05099297e19feda94eec211312313	SAMEA104416632.contigs.fa.gz
SAMEA104416634	ccc1f85641322f8f8008de6cf434cc09	SAMEA104416634.contigs.fa.gz
SAMEA104416644	556c1964b1432b7149cf84a7ca18e4ff	SAMEA104416644.contigs.fa.gz
SAMEA104416650	4fd3bdd8ee083709e373a97d7f93f10c	SAMEA104416650.contigs.fa.gz
SAMEA104416653	9b6c08b605f29cd362037ba47006cc71	SAMEA104416653.contigs.fa.gz
SAMEA104416662	93644d63d46ffe7d33f845f2a67ffaac	SAMEA104416662.contigs.fa.gz
SAMEA104416674	b68ce962cf15df67c20d2a676d0edce7	SAMEA104416674.contigs.fa.gz
SAMEA104416679	cf0131a10f7439008dc93b6330749107	SAMEA104416679.contigs.fa.gz
SAMEA104416689	3bfb87d05326051daedc759b9f748411	SAMEA104416689.contigs.fa.gz
SAMEA104416691	9bab48b59dac3c3b816cb1f25c39e428	SAMEA104416691.contigs.fa.gz
SAMEA104416706	3c70efc72115389d7c196cc12553a1cf	SAMEA104416706.contigs.fa.gz
SAMEA104416707	f2b1b8a7ca1d3e8459f4917e008f8db7	SAMEA104416707.contigs.fa.gz
SAMEA104416737	56821bdceea9aeef54e2609ce2de1414	SAMEA104416737.contigs.fa.gz
SAMEA104416744	f5e899178f465244729a05ba893c7997	SAMEA104416744.contigs.fa.gz
SAMEA104416759	f867bff68e93032672a52abe828de7fe	SAMEA104416759.contigs.fa.gz
SAMEA104416796	f4e7b0a11c01a3b5ade85fa19a047228	SAMEA104416796.contigs.fa.gz
SAMEA104416797	843699d3e20ffb354e22f4039d67cafe	SAMEA104416797.contigs.fa.gz
